sentence,hypothesis,features,amibiguity
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set bandwidth('max', '20', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('download', '6', 'gb/wk')","[3, 1, 1440.0, 0, 0, 0, 0, 3.0024009066216792, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('ips'), middlebox('network border system'), middlebox('copyright monitoring')",define intent hypIntent: for group('guest') remove middlebox('ips'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.0703604713750008, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') set bandwidth('max', '30', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('load balancer'), middlebox('firewall'), middlebox('ids')","[4, 1, 1440.0, 0, 0, 1, 0, 2.870033673769007, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('any', '8', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.5') set quota('download', '3', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.0540688250801304, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') unset quota('upload', '4', 'gb/wk')","define intent hypIntent: for group('guests') unset bandwidth('max', '80', 'mbps')","[3, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('max', '20', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('min', '10', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') set quota('any', '5', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.38') set quota('upload', '9', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.169286602641259, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('facebook') traffic('streaming'),define intent hypIntent: for group('dorms') block service('amazon prime video') traffic('voip'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.3808198210843469, 2, 1, 2, 0.22657353053131019, 2, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.61') add middlebox('overuse notification'),"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') allow service('Sorenson Videophone 200'), service('file transfer')","[2, 1, 1440.0, 0, 0, 0, 0, 2.451090057002753, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]",0
"define intent stnIntent: for group('guests') set bandwidth('max', '30', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '80', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') unset quota('upload', '6', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('max', '50', 'mbps')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') allow traffic('streaming'), traffic('torrent')","define intent hypIntent: for group('non registered users') block protocol('http'), protocol('udp')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '5', 'gb/wk')","define intent hypIntent: for group('educatee') set bandwidth('max', '10', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('unit firewall'), middlebox('dpi'), middlebox('parental control') start hour('08:10') end hour('18:00')","define intent hypIntent: for group('guests') remove middlebox('unit firewall'), middlebox('copyright monitoring') start hour('11:10') end hour('19:30')","[5, 1, 411.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.6596446965500125, 5]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('unit firewall'),"define intent hypIntent: for group('dorms') remove middlebox('network border system'), middlebox('load balancer')","[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.0292698796197408, 3]",0
"define intent stnIntent: for group('dorms') set quota('any', '1', 'gb/wk')","define intent hypIntent: for group('hall') set quota('upload', '6', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('upload', '4', 'gb/wk')","define intent stnIntent: for group('students') add middlebox('parental control'), middlebox('traffics monitor')","[3, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",0
"define intent stnIntent: for group('students') allow traffic('voip'), traffic('email')",define intent hypIntent: for group('educatee') block traffic('file sharing') protocol('IMAP'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0.7239849074325635, 3, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.76') add middlebox('unit firewall'), middlebox('traffics monitor'), middlebox('ips') start hour('05:00') end hour('12:40')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') add middlebox('copyright monitoring') start hour('16:10') end hour('18:20'),"[3, 1, 0, 0, 0, 1, 0, 3.336529563281343, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.7345762545548293, 4]",0
define intent stnIntent: for group('students') add middlebox('ids'),"define intent hypIntent: for group('bookman') remove middlebox('unit firewall'), middlebox('ids'), middlebox('parental control')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.3547045941970333, 4]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') remove middlebox('parental control') start hour('05:20') end hour('13:30'),"define intent hypIntent: for group('dorms') remove middlebox('copyright monitoring'), middlebox('overuse notification') start hour('15:00') end hour('18:20')","[3, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.1071496255092592, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set quota('download', '6', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.48') set quota('any', '3', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.4343372161949755, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('upload', '1', 'gb/wk')","define intent hypIntent: for group('student') set quota('any', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.18'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.0705421496419048, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('upload', '3', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('upload', '3', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') set bandwidth('min', '30', 'mbps')","define intent hypIntent: for group('hall') set bandwidth('min', '90', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '2', 'gb/wk')","define intent hypIntent: for group('scholarly person') set quota('upload', '6', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('max', '30', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.66') set bandwidth('min', '50', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.485894066521788, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') add middlebox('overuse notification'), middlebox('ids')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.66') add middlebox('ips'), middlebox('unit firewall'), middlebox('overuse notification')","[5, 1, 1440.0, 0, 0, 1, 0, 3.485894066521788, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.164426263432872, 5]",0
"define intent stnIntent: for group('students') set bandwidth('min', '60', 'mbps')","define intent hypIntent: for group('students') set bandwidth('max', '70', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set bandwidth('max', '20', 'mbps')","define intent hypIntent: for group('dorms') set quota('any', '4', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('students') add middlebox('network border system') start hour('08:40') end hour('15:20'),"define intent hypIntent: for group('students') remove middlebox('network border system'), middlebox('dpi'), middlebox('copyright monitoring')","[5, 1, 401.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.561014853025829, 4]",1
"define intent stnIntent: for group('dorms') set bandwidth('max', '10', 'mbps')","define intent hypIntent: for group('dorms') unset quota('any', '5', 'gb/wk')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('max', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.10') set bandwidth('max', '90', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.188713976784815, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') allow traffic('file sharing') protocol('scp') start hour('05:30') end hour('12:30'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') block protocol('scp'), protocol('ssh') start hour('17:20') end hour('18:40')","[3, 1, 0, 1, 0, 0, 1, 3.4465756279980813, 4, 0, 0, 0, 0, 0, 1, 1.6340664952177568, 3, 0, 0]",0
"define intent stnIntent: for group('guests') set bandwidth('max', '10', 'mbps')","define intent hypIntent: for group('non registered users') set bandwidth('max', '30', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '1', 'gb/wk')","define intent hypIntent: for group('students') set quota('upload', '3', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') add middlebox('firewall'), middlebox('ips'), middlebox('ids')","define intent hypIntent: for group('students') remove middlebox('traffics monitor'), middlebox('ids'), middlebox('dpi')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3.8930397935177665, 6]",1
"define intent stnIntent: for group('guests') unset quota('any', '7', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('max', '70', 'mbps')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') add middlebox('parental control'), middlebox('ips') start hour('12:10') end hour('14:00')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') remove middlebox('parental control'), middlebox('dpi'), middlebox('traffics monitor')","[3, 1, 111.0, 1, 0, 1, 0, 2.0360320124713542, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.3857459655726565, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('ips'), middlebox('dpi'), middlebox('overuse notification')",define intent stnIntent: for group('dorms') allow service('facebook') traffic('email'),"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 3]",0
"define intent stnIntent: for group('dorms') add middlebox('network border system'), middlebox('load balancer'), middlebox('copyright monitoring')","define intent hypIntent: for group('hall') remove middlebox('copyright monitoring'), middlebox('ids'), middlebox('firewall')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3.6991789556465746, 6]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') allow service('listserver') traffic('video conference'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.54') block traffic('gaming') protocol('udp'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.0795317066007115, 4, 0, 1, 0, 0, 0.38055797678714665, 2, 0, 1, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('traffics monitor'), middlebox('ips'), middlebox('unit firewall')","define intent hypIntent: for group('guest networks') remove middlebox('network border system'), middlebox('unit firewall')","[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2.347870394353726, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set quota('upload', '5', 'gb/wk')","define intent hypIntent: for group('students') unset bandwidth('max', '70', 'mbps')","[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('min', '30', 'mbps')","define intent hypIntent: for group('scholarly person') set bandwidth('max', '30', 'mbps')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('guests') allow service('instagram') protocol('smtp'),define intent hypIntent: for group('guest networks') block service('file transfer') protocol('ssh'),"[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0.5136402125184701, 2, 0, 2, 0, 0, 0.6044703442383529, 2, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set bandwidth('max', '70', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '70', 'mbps')","[4, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') block service('PC Telephone'), service('AIM chat')",define intent hypIntent: for group('students') block traffic('peer2peer') protocol('smtp'),"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 1, 0, 1, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.70'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.3805298978798897, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') allow service('MSN chat') traffic('video conference') add middlebox('firewall'),define intent hypIntent: for group('guests') allow service('listserver') protocol('udp') add middlebox('firewall'),"[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0.15946381904979404, 2, 0, 1, 0, 1, 0, 1, 1.0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('download', '2', 'gb/wk') start hour('12:20') end hour('15:40')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') set quota('download', '4', 'gb/wk') start hour('11:00') end hour('17:20')","[4, 0, 201.0, 0, 0, 1, 0, 2.870033673769007, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('unit firewall'),"define intent hypIntent: for group('dorms') remove middlebox('overuse notification'), middlebox('dpi'), middlebox('network border system')","[3, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.1114812296308325, 4]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('unit firewall'), middlebox('overuse notification'), middlebox('dpi')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') remove middlebox('load balancer'), middlebox('dpi')","[4, 1, 1440.0, 1, 0, 1, 0, 3.1333286188334997, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.641171977981187, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('traffics monitor'), middlebox('copyright monitoring')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') allow service('PC Telephone') protocol('ftp'),"[2, 1, 1440.0, 0, 0, 1, 0, 3.4963077897996717, 4, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2]",0
define intent stnIntent: for group('dorms') allow service('MSN audio') traffic('video conference'),define intent hypIntent: for group('dorms') block traffic('gaming') protocol('https'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0.38055797678714665, 2, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') add middlebox('firewall'), middlebox('ids') start hour('04:10') end hour('09:20')","define intent hypIntent: for group('students') remove middlebox('firewall'), middlebox('traffics monitor'), middlebox('copyright monitoring') start hour('16:20') end hour('17:20')","[4, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.604583774864851, 5]",0
"define intent stnIntent: for group('students') add middlebox('traffics monitor'), middlebox('overuse notification')",define intent hypIntent: for group('students') remove middlebox('traffics monitor'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.3163818970639278, 3]",1
"define intent stnIntent: for group('dorms') add middlebox('firewall'), middlebox('ips')",define intent hypIntent: for group('residence hall') remove middlebox('parental control'),"[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.3669994487814982, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set bandwidth('min', '80', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.78') set bandwidth('min', '40', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.4296275577496513, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') block traffic('torrent'), traffic('voip') add middlebox('firewall')","define intent hypIntent: for group('guests') block traffic('gaming'), traffic('video conference') add middlebox('firewall')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1.329505847104816, 4, 0, 0, 1.0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') set quota('any', '2', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.29') set quota('upload', '4', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.003887346086242, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set quota('upload', '4', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('max', '50', 'mbps')","[4, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.55'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.215810517367828, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('dorms') allow service('listserver') traffic('file sharing'),"define intent hypIntent: for group('student residence') allow protocol('tcp'), protocol('POP3')","[5, 1, 1440.0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') allow traffic('file sharing'), traffic('H323 video conferencing')",define intent hypIntent: for group('students') block traffic('email') protocol('sftp'),"[4, 1, 1440.0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0.9500058589389238, 3, 0, 1, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow service('Sorenson Videophone 200') traffic('H323 video conferencing') start hour('06:10') end hour('11:10'),define intent hypIntent: for group('dorms') allow service('youtube') protocol('POP3') start hour('17:20') end hour('18:40'),"[3, 1, 0, 0, 0, 1, 0, 0, 2, 0.40795379212428856, 2, 0, 1, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: for group('students') allow traffic('file sharing'), traffic('video conference')",define intent hypIntent: for group('students') block traffic('H323 video conferencing') protocol('https'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 1.1425967434841922, 3, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') unset bandwidth('min', '50', 'mbps')","define intent hypIntent: for group('students') unset bandwidth('min', '20', 'mbps')","[4, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set quota('any', '3', 'gb/wk')","define intent hypIntent: for group('guests') set quota('upload', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set bandwidth('min', '80', 'mbps')","define intent hypIntent: for group('students') set quota('download', '4', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('max', '70', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.17') set bandwidth('max', '40', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.4968668495585655, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') allow traffic('any'), traffic('social media') start hour('03:30') end hour('11:40')","define intent hypIntent: for group('dorms') block protocol('smtp'), protocol('scp') start hour('16:10') end hour('18:10')","[5, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 2, 0, 2, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('copyright monitoring'), middlebox('ips'), middlebox('traffics monitor')","define intent hypIntent: for group('guests') remove middlebox('traffics monitor'), middlebox('ips'), middlebox('overuse notification')","[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.9593446723444896, 6]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set quota('any', '7', 'gb/wk')","define intent stnIntent: for group('guests') add middlebox('ids'), middlebox('ips'), middlebox('copyright monitoring')","[4, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.84') add middlebox('firewall') start hour('12:20') end hour('19:30'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') remove middlebox('firewall') start hour('10:40') end hour('14:30'),"[3, 1, 131.0, 1, 0, 0, 0, 3.1497011992439017, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 2]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') remove middlebox('copyright monitoring'), middlebox('network border system')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.91') remove middlebox('network border system'), middlebox('parental control'), middlebox('ids')","[5, 1, 1440.0, 0, 0, 1, 0, 3.1369206501619376, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.7651733915353995, 5]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.49') set bandwidth('min', '40', 'mbps') start hour('10:10') end hour('15:20')","define intent hypIntent: for group('dorms') set bandwidth('min', '70', 'mbps') start hour('10:30') end hour('19:30')","[5, 0, 291.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') block service('MSN application sharing') traffic('torrent'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.87') allow service('Sony Playstation 2') protocol('secure IMAP'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.1269472281583774, 4, 0.3048605805011635, 2, 0, 0, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('min', '70', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.25') set bandwidth('min', '80', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.438514631215971, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('any', '9', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('min', '50', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') allow traffic('peer2peer'), traffic('video conference') start hour('12:10') end hour('17:20')","define intent hypIntent: for group('students') block protocol('tcp'), protocol('ftp')","[4, 1, 311.0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('download', '7', 'gb/wk')","define intent hypIntent: for group('guests') set quota('any', '2', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') allow protocol('POP3'), protocol('ssh')","define intent hypIntent: for group('students') block protocol('tcp'), protocol('POP3')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2.352571004991987, 4, 0, 0]",1
define intent stnIntent: for group('students') add middlebox('parental control'),"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') allow service('Sorenson Videophone 200'), service('listserver')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1]",0
"define intent stnIntent: for group('students') set quota('any', '5', 'gb/wk')","define intent hypIntent: for group('bookman') set quota('any', '4', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
